objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
math_023,moufang.jpeg,,Ruth Moufang,,1905,"Born 10 January 1905. She is known for her work on Moufang planes, and Moufang loops. In her graduate work, she transported the axioms David Hilbert had postulated for the realm of plane geometry into the field of projective geometry. She was modest when talking about her own work, and she also had many intellectual interests outside mathematics.",German; geometry ,Germany,49.86756898,8.659112834,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_024,ehresman.jpeg,,Charles Ehresmann ,,1905,"Born 19 April 1905. He worked in differential topology and category theory. Dieudonné describes Ehresmann's personality as ""distinguished by forthrightness, simplicity, and total absence of conceit or careerism. As a teacher he was outstanding, not so much for the brilliance of his lectures as for the inspiration and tireless guidance he generously gave to his research students.""",French; topology,France,48.57350426,7.758474411,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_025,mazur.jpeg,,Stanislaw Mazur ,,1905,"Born 1 January 1905. He is known for his work in functional analysis, summability theory, infinite games and computable functions. He collaborated with Banach and Ulam.",Austrian; infinite games; summability theory; functional analysis; computable functions,Ukraine,49.82057074,24.0255819,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_026,borsuk.jpeg,,Karol Borsuk,,1905,"Born 8 May 1905. He made important contributions to topology. He invented the theory of retracts, published in Sur les rétractes. In Lwów Borsuk joined the mathematicians in the Scottish Café and contributed to the open problems which they wrote down in the famous book (Scottish Book). He influenced strongly the development of the whole area of infinite-dimensional topology with his theory of retracts and his theory of shape which became major topics for discussion at his seminar.",Polish; topology,Poland,52.23777387,21.05329768,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_027,dieudonne.jpeg,,Jean A. Dieudonné,,1905,"Born 1 July 1906. He is remembered for his work in general topology, topological vector spaces, algebraic geometry, invariant theory and the classical groups. He founded Bourbaki and also wrote on the history of mathematics. He wrote about the history of mathematics. A text he produced is ""The History of functional analysis"" which ""is a detailed and absorbing account of the history and development of functional analysis, beginning with Lagrange and Daniel Bernoulli, through the work of Fredholm, Hilbert, and Frigyes Riesz at the turn of this century, and ending about 1960.""",French; topology; Bourbaki; geometry,France,50.62857614,3.053249271,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_028,wilks.jpeg,,Samuel Stanley Wilks,,1906,"Born 17 June 1906. He is remembered for his work in mathematical statistics. His undergraduate endeavors included architechture and industrial arts, and mathematics. He pblished two high quality papers ""The standard error of the means of 'matched' samples (1931)"" and his thesis, ""On the distributions of statistics in samples from a normal population of two variables with matched sampling of one variable."" ",American; statistics,USA,33.17844134,-96.89557714,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_029,gelfond.jpeg,,Alexandr Osipovich Gelfond,,1906,"Born 24 October 1906. He developed basic techniques in the study of transcendental numbers. His major contributions to transcendental numbers is set out in Transcendentnye algebraicheskie chisla Ⓣ (1952). In it Gelfond states that his aims are ""to show the contemporary state of the theory of transcendental numbers, to exhibit the fundamental methods of this theory, to present the historical course of development of these methods, and to show the connections which exist between this theory and other problems in the theory of numbers.""",Russian; transcedental numbers,Russia,59.88602678,30.36246335,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_030,feller.jpeg,,William Feller,,1906,"Born 7 July 1906. He worked on probability and is best known as the author of a standard work on Statistics. ""Grundbegriffe der Wahrscheinlichkeitsrechnung"" his monograph, published in 1933, built up probability theory in a rigorous way from fundamental axioms in a way comparable to Euclid's Elements.",Croatian; statistics,Croatia,45.83182402,15.97703449,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_031,godel.jpeg,,Kurt Friedrich Gödel ,,1906,Born 28 April 1906. Gödel proved fundamental results about axiomatic systems showing in any axiomatic mathematical system there are propositions that cannot be proved or disproved within the axioms of the system.,Austrian-Hungarian; axioms; axiomatic system,Czech Republic,49.2184431,16.62224913,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_032,hopper.jpeg,,Grace Murray Hopper,,1906,"Born 9 December 1906. She is one of the pioneers in the development of the electronic computer, and also the only mathematician with a warship named after her. Hopper was awarded her doctorate by Yale University in 1934 for a thesis New Types of Irreducibility Criteria. She eventually persuaded the Naval Reserve (US Navy) to accept her in 1943 and she also persuaded Vassar College to grant her leave. Hopper was working on the Harvard Mark II computer. It was in this machine that the first actual ""computer bug"" was found: a moth which shorted one of the 17 000 relays in the machine. She designed an improved compiler while working for the company and was part of the team which developed Flow-Matic, the first English-language data-processing compiler.",American; computer science; computer,USA,40.71986967,-73.95976828,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_033,zorn.jpeg,,Max Zorn,,1906,"Born 6 June 1906. Max Zorn was a German mathematician, best known for the so-called Zorn's lemma, equivalent to the Axiom of Choice.
",German; axiom of choice,Germany,51.31910673,6.552829733,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_034,davenport.jpeg,,Harold Davenport ,,1907,"Born 30 October 1907. He worked on number theory, in particular the geometry of numbers, Diophantine approximation and the analytic theory of numbers. He wrote a number of important textbooks and monographs including The higher arithmetic (1952).",British; number theory; book,England,52.20094635,0.1306301546,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_035,,,Harold Douglas Ursell,,1907,Born 1907. He was an English mathematician who is best known for Ursell function,British; statistics;,England,52.36326876,-1.509395282,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_036,scheffe.jpeg,,Henry Scheffé,,1907,"Born 11 April 1907. He worked in several different areas of Statistics, including linear models, analysis of variance and nonparametrics.",American; statistics,USA,37.86547193,-122.2897647,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_037,whitney.jpeg,,Hassler Whitney,,1907,"Born 23 March 1907. He was an American mathematician who did important work in manifolds, embeddings, immersions, characteristic classes and geometric integration theory.","American; manifolds, immersions, geometry",USA,40.70165268,-73.97144125,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_038,herbrand.jpeg,,Jacques Herbrand,,1908,Born 12 February 1908. He was a French mathematician who died young but made contributions to mathematical logic.,French; logic,France,48.86382391,2.3923536,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_039,pontryagin.jpeg,,Lev S. Pontrjagin,,1908,Born 3 September 1908. He was a blind Russian mathematician who produced important work in algebra and topology.,Russian; algebra; topoogy,Russia,55.72768417,37.51735943,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_040,heilbronn.jpeg,,Hans Arnold Heibronn,,1908,"Born
8 October 1908. He was a German mathematician who worked in algebraic number theory.",German; algebra,Germany,52.50851582,13.4467044,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_041,erdelyi.jpeg,,Arthur Erdélyi ,,1908,Born 2 October 1908. He was a Hungarian mathematician who became a lecturer at Edinburgh and after a period in the USA returned to Edinburgh as a Professor. He was an expert on Special Functions.,Hungarian; lecturer; special functions,Hungary,47.48214156,19.130303,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_042,gentzen.jpeg,,Gerhard Gentzen,,1909,"Born 24 November 1909. Gerhard Gentzen invented a 'natural deduction' which provided a logic closer to mathematical reasoning than the systems proposed by Frege, Russell and Hilbert.
",German; logic,Germany,"54.092251035844995, 13.41675327728251",,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_043,malcev.jpeg,,Anatoly Ivanovich Malcev,,1909,Born 27 November 1909. He was a Russian mathematician noted for his work on the decidability of various algebraic structures.,Russian; algebra,Russia,55.71918858,39.74734826,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_044,naimark.jpeg,,Mark Aronovich Naimark ,,1909,Born 5 December 1909. He was a Ukranian mathematician who worked in functional analysis and mathematical physics. ,Ukrainian; physics,Ukraine,46.85409998,30.94562025,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_045,ulam.jpg,,Stanislaw Marcin Ulam,,1909,Born 13 April 1909. He was a Polish-American mathematician. He played an important part in the American Manhattan Project that developed the first nuclear weapons. He also developed the Monte Carlo methpod used in statistics.,Ukrainian; statistics,Ukraine,49.81170968,24.72596027,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_046,cochran.jpeg,,William Gemmell Cochran,,1909,Born 15 July 1909. He was a Scottish born mathematician who did much to promote statistics in the USA. He wrote a number of books which became statistics classics.,Scottish; statistics,Scotland,55.82686946,-4.215216189,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_047,kleene.jpeg,,Stephen C. Kleene,,1909,Born 5 January 1909. He was an American mathematician and logician best known his work on recursion theory.,American; logic,USA,41.76267849,-72.68128858,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_048,steenrod.jpeg,,Norman Earl Steenrod,,1910,Born 22 April 1910. He was an American mathematician who worked in algebraic topology and was one of the founders of homological algebra.,American algebra; topology,USA,39.77782707,-84.23168311,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_049,turan.jpeg,,Paul Turán,,1910,Born 18 August 1910. He was a Hungarian mathematician who worked in number theory.,Hungarian; number theory,Hungary,47.47146735,19.11245022,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_050,wolfowitz.jpeg,,Jacob Wolfowitz ,,1910,Born 19 March 1910. He worked on nonparametric statistical inference with Wald and also collaborated on sequential analysis. ,Polish; statistics,Poland,52.25858335,21.01862208,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_051,gelbart.jpeg,,Abraham Gelbart ,,1911,Born 2 December 1911. He was an American mathematician who worked in complex function theory.,American; complex function theory,USA,40.90858471,-74.1519221,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_052,levinson.jpeg,,Norman Levinson ,,1912,"Born
11 August 1912. He was an American mathematician who worked with Fourier transforms, complex analysis, non-linear differential equations, number theory and signal processing.",American; fourier transforms; number theory,USA,42.47597311,-70.9722738,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_053,heijenoort.jpeg,,Jean van Heijenoort,,1912,"Born July 23, 1912. He worked on mathematical logic, publishing works of Kurt Godel.",French; Kurt Godel; mathematical logic,France,49.25360475,2.486037525,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_054,bourbaki.jpeg,,Nicolas Bourbaki ,,1940,Created 1935. It is the pseudonym of a group of (mainly) French mathematicians who publish an authoritative account of contemporary mathematics. ,French; group; organisation,France,48.85998423,2.38205392,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_055,teichmuller.jpeg,,Paul Julius Oswald Teichmüller,,1913,Born 18 June 1913. His main contribution was in the area of geometric function theory.,German; geometry ,Germany ,51.5264924,10.83671694,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_056,turing.jpeg,,Alan Mathison Turing,,1913,Born 23 June 1912. His work was fundamental in the theoretical foundations of computer science.,English; computer science,England,51.50001171,-0.08923903123,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_057,mostowski.jpeg,,Andrzej Mostowski ,,1913,Born 1 November 1913. He was a Polish mathematician who worked on logic and the foundations of mathematics. ,Polish; logic,Ukraine,49.82272274,24.00262251,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_058,degroot.jpeg,,Johannes de Groot,,1914,Born 7 May 1914. He was a Dutch mathematician who worked in topology.,Dutch; topology,Netherlands,53.29919912,6.768216752,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_059,bers.jpeg,,Lipman Bers,,1914,"Born 23 May 1914. He was a Latvian-born American mathematician who worked on pseudoanalytic functions, Riemann surfaces and Kleinian groups.",Latvian; number theory; Reimannian Functions,Russia,56.9324397,24.16477902,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_060,linnik.jpeg,,Iurii Vladimirovich Linnik,,1915,"Born 21 January 1915. He was a Ukranian-born mathematician who worked on number theory, probability theory and mathematical statistics.",Ukrianian; number theory; statistics,Ukraine,49.79643957,30.19133674,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_061,savage.jpeg,,Leonard Jimmie Savage,,1917,Born 20 November 1917. He was an American mathematician and statistician. ,American; statistics,America,42.34712892,-83.07173918,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_062,robinson.jpeg,,Abraham Robinson,,1918,Born 6 October 1918. He was a Polish-born mathematician best known for the development of non-standard analysis.,Polish; analysis,Poland,50.78919014,16.29829513,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_063,wang.jpeg,,Hsien Chung Wang,,1918,"Born 18 April 1918. He was a Chinese-born American mathematician who worked in differential geometry, Lie groups and algebraic topology.",Chinese; geometry; topology,China,39.80713939,116.5650004,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_064,renyi.jpeg,,Alfréd Rényi ,,1921,"Born 30 March 1921. He was a Hungarian mathematician who worked in probability theory, combinatorics, graph theory and number theory.",Hungarian; probability theory; number theory,Hungary,47.43618064,19.15227566,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_065,amitsur.jpeg,,Shimson Avraham Amitsur,,1921,Born 26 August 1921. He was an Israeli mathematician who worked in ring theory.,Israeli; ring theory,Israel,31.76275561,35.19321178,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_066,harishchandra.jpeg,,Harish-Chandra Mehrotra,,1923,"Born 11 October 1923. He was an Indian American mathematician and physicist who did fundamental work in representation theory, especially harmonic analysis on semisimple Lie groups.
",Indian; physics,India,26.40874324,80.32464984,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_067,gorenstein.jpeg,,Daniel Gorenstein,,1923,Born 1 January 1923. He was an American mathematician best known for his part in the classification of finite simple groups.,American; simple groups,USA,42.31282669,-71.11173297,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
math_068,bowen.jpeg,,Rufus Bowen,,1947,Born 23 February 1947. He was an American mathematician who worked on dynamical systems.,American; graph theory,USA,38.11265517,-122.2344694,MacTutor,,Image;StillImage,image/jpeg,eng,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,
